,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265
77,2022-03-19,0,0,2,274,1,0,86,1,0,23,1,58,521,1,0,0,11,1,0,3,1,4,1,314,43,1,0,7,4,0,0,4,60,0,3,3,6,0,2,12,361,99,1899,1,193,0,6,4157,7,889,11,20,1,1,3,5,0,0,0,3,6,1,0,0,68,27,0,3182,2,423,1,2,0,261,624,1,0,4,4972,20,1,17,6,0,0,1,805,375,6,2561,1,2,9,2,7,0,39,1,0,1809,0,1,0,0,0,8,3218,3,0,0,0,35,1673,1786,0,89,2,1,5,0,0,0,0,0,727,2,8,0,14,4,0,4345,4,6,0,0,1563,2231,1,1604,3002,3753,1105,1315,57,72,3,2057,1,0,923,75,1,0,2,0,4,1127,4,3,3652,2775,3028,2642,1,462,4,8,5,3477,1,1,2,2,0,0,2,0,19,1,32,3,1,0,1,3018,0,3,8,2,1,1,10,3,3,6,2,4,0,1,2,1,2,0,2,0,2,1,239,5,1154,0,9,0,4,8,4,2,4,5,0,0,25,201,8,81,0,2,2469,3455,1658,202,1416,3249,7,3233,3716,2103,3286,0,2,6,12,76,0,1811,11,2,3355,3,0,0,0,11,74,71,0,0,2,31,583,1203,2615,925,15
78,2022-03-20,2,0,1,179,1,0,75,0,1,28,0,37,420,4,1,0,10,1,0,2,0,0,2,297,53,0,0,3,0,0,1,3,43,1,1,5,8,2,1,16,326,94,1368,0,124,0,6,3628,16,843,2,12,0,2,1,4,0,0,0,2,7,3,1,0,77,34,0,2689,5,468,1,3,0,308,499,6,1,0,3874,16,2,12,4,0,0,1,453,195,1,1959,0,1,11,3,6,0,47,0,0,1291,0,0,0,0,0,1,2369,1,0,0,0,29,1319,1521,0,87,0,0,3,0,0,0,0,1,537,0,4,0,23,6,2,5807,2,5,1,1,1168,3544,0,1320,2497,2894,1000,1023,29,51,0,1515,0,0,844,71,0,0,1,0,7,834,5,2,2317,2018,1954,1887,0,434,6,11,2,2322,0,0,1,4,0,0,2,1,15,0,47,4,0,0,0,3067,0,7,9,2,1,1,15,5,1,5,4,2,0,0,1,1,0,0,2,0,2,1,163,2,867,4,6,0,6,4,6,3,9,4,0,1,37,148,4,74,1,2,1802,2491,1212,173,968,2293,7,2802,2955,1841,2818,0,9,1,12,76,0,1530,7,2,2594,1,0,0,0,5,48,60,6,0,2,22,454,920,2137,1026,16
79,2022-03-21,3,0,0,47,1,0,36,0,0,39,2,31,528,5,0,0,9,2,2,3,1,1,3,283,28,9,0,5,2,0,0,0,44,0,5,2,1,4,4,23,257,77,1604,0,102,0,3,2577,11,616,3,28,2,0,1,4,0,0,0,2,7,8,1,1,63,22,1,2280,2,531,1,5,0,247,623,6,1,2,1534,8,1,13,2,0,0,3,380,247,5,1478,4,3,13,2,14,0,28,2,0,1789,4,1,0,0,0,5,1953,2,0,0,0,6,1183,823,0,78,3,0,3,0,1,0,2,1,392,2,4,0,15,15,1,5477,3,10,1,0,1072,3517,5,2276,2494,2637,1125,638,41,53,0,434,2,1,883,76,2,0,2,0,7,488,5,0,4536,3563,2820,2175,8,553,2,11,3,3200,0,0,2,4,2,0,3,2,24,1,34,2,2,0,1,3685,0,11,6,0,10,0,16,4,2,10,7,1,0,0,0,3,5,0,7,0,1,3,130,1,553,3,5,0,13,9,5,1,12,1,0,3,17,118,9,81,1,2,1925,3095,1108,63,1274,2540,4,3935,4535,1925,2457,0,0,4,14,80,0,1338,10,1,1442,1,0,1,1,10,7,10,3,1,1,18,458,1239,1696,1071,11
80,2022-03-22,0,0,1,49,1,0,48,0,1,29,1,37,600,2,1,0,6,1,0,0,2,2,5,290,35,3,0,6,1,0,0,2,44,0,2,0,3,1,11,23,264,101,1882,0,106,0,3,3056,7,683,5,19,2,0,2,5,0,0,0,2,7,2,1,1,48,15,1,2510,8,579,2,5,0,244,675,6,1,2,1956,4,1,10,3,0,4,3,484,308,7,1595,7,4,7,0,8,0,29,1,0,2004,4,1,0,0,0,2,2309,2,0,0,0,8,1355,1024,0,76,3,0,3,0,2,0,3,3,482,1,4,0,12,11,7,4578,2,10,1,2,1196,3212,2,2489,2757,3350,1322,709,33,62,2,497,0,0,933,86,2,1,3,1,3,604,1,3,5691,4376,3458,2522,2,580,1,9,1,3546,0,0,1,4,2,0,0,1,22,0,15,2,0,0,1,3961,0,11,5,2,9,2,12,1,1,6,8,1,0,1,2,2,1,0,5,0,2,2,139,3,645,1,6,0,8,6,4,6,8,0,0,0,14,104,5,72,0,5,2338,3460,1371,75,1436,3078,4,4444,5543,2221,2822,0,2,4,12,64,0,1494,0,2,1875,0,0,0,0,7,9,8,1,1,2,12,474,1468,2043,1002,11
81,2022-03-23,0,0,0,61,1,0,44,1,3,29,2,33,708,2,0,0,15,5,0,3,1,1,5,350,25,3,0,8,4,0,0,3,41,2,2,2,6,1,7,19,292,119,1639,1,108,0,3,3460,7,690,4,21,1,1,2,3,0,0,0,1,3,5,2,1,68,16,2,2803,2,474,3,6,1,254,740,8,2,2,2244,5,0,9,1,0,2,5,513,312,2,1924,3,3,14,1,14,0,31,0,0,2235,1,1,0,0,0,4,2715,1,0,0,0,10,1545,1125,0,102,2,0,4,1,2,0,1,0,577,1,2,0,12,13,1,4358,4,5,2,0,1380,3048,3,2738,2939,3714,1363,808,34,60,1,682,0,0,1001,95,2,0,1,0,5,666,0,1,6105,4744,3791,2837,3,601,1,5,4,4000,2,0,2,8,0,0,3,0,17,0,21,2,1,0,2,3845,0,5,6,2,4,0,12,1,1,3,10,1,0,1,1,0,2,0,4,0,2,0,128,1,671,2,3,0,11,6,2,4,5,4,0,1,28,142,4,76,1,6,2621,4067,1635,101,1676,3411,2,4528,5632,2337,3021,1,4,6,9,90,0,1454,9,2,1985,2,0,2,0,3,11,12,2,1,3,15,509,1456,2199,1202,10
82,2022-03-24,2,0,2,76,2,0,62,0,0,22,3,25,674,3,0,0,5,3,0,0,2,0,3,370,43,3,0,4,0,0,1,2,31,2,3,0,0,3,4,16,275,95,1902,1,109,0,1,3452,7,828,7,21,1,0,4,6,0,0,0,1,7,6,2,4,67,11,0,2773,7,483,3,8,0,280,735,5,0,5,2448,5,3,8,5,0,1,2,572,279,5,1847,3,2,9,1,10,0,40,1,0,2209,2,1,0,0,0,2,2690,3,0,0,0,5,1496,1139,0,87,3,2,3,0,0,0,2,2,540,0,3,0,13,8,3,4614,3,6,1,0,1462,3021,5,2621,2979,3817,1491,768,32,73,1,815,1,1,999,109,0,0,2,0,3,696,6,1,6137,4854,3931,2837,3,689,3,5,2,4142,1,0,1,3,2,0,2,0,14,2,33,6,3,0,0,4011,0,9,12,0,4,0,16,3,0,4,5,0,0,1,0,6,4,0,6,0,0,0,150,5,744,0,2,0,13,5,4,2,8,4,0,1,21,128,6,76,1,4,2615,3814,1528,86,1630,3271,4,4671,5496,2321,3279,0,5,2,5,89,0,1432,6,0,2085,0,0,2,1,6,25,14,0,0,4,14,517,1512,2255,1160,18
83,2022-03-25,2,0,5,94,1,0,52,0,0,26,1,41,637,1,2,0,7,2,1,0,0,1,1,401,66,0,0,8,2,0,0,1,47,3,3,3,2,3,7,21,361,140,1959,1,166,0,3,3641,9,858,5,20,2,1,5,2,0,0,0,0,11,2,2,0,75,34,2,2867,2,475,5,2,0,334,724,6,2,2,3212,7,1,11,9,0,0,4,627,300,10,2169,6,5,8,1,4,0,36,0,0,1981,3,1,0,0,0,5,2854,5,0,0,1,10,1584,1485,0,122,5,1,8,2,2,0,0,0,560,1,10,3,17,9,7,4724,4,10,3,4,1506,3554,1,2380,3208,3740,1489,1023,39,55,2,1020,0,0,1159,100,1,0,2,0,7,881,7,1,4660,3583,3352,2720,2,694,2,9,5,3821,1,0,1,1,0,0,2,1,24,0,20,1,3,0,1,4009,0,10,7,0,2,1,17,4,0,4,2,2,0,1,1,4,3,0,5,0,2,1,173,4,853,1,5,0,13,3,3,1,8,1,0,3,20,164,5,75,2,3,2530,3454,1566,126,1529,3128,4,4322,5152,2379,3514,1,2,4,19,83,0,1514,10,0,2554,5,0,1,0,7,30,25,1,3,2,24,539,1490,2539,1116,6
84,2022-03-26,1,0,1,234,2,0,52,0,0,22,3,55,526,3,1,0,5,2,0,1,0,0,2,371,44,0,0,6,2,0,1,3,47,3,2,5,6,0,0,13,465,89,1992,0,191,1,2,4265,5,915,10,18,0,2,5,1,0,0,0,0,3,2,2,1,69,35,0,3348,2,354,1,0,0,303,667,7,2,3,5349,23,5,12,2,0,1,3,651,339,5,2489,1,3,5,2,6,0,57,0,0,1716,1,0,0,0,0,6,3451,1,0,0,0,24,1877,2141,0,86,1,0,5,0,0,0,1,1,763,2,4,1,21,8,1,4442,3,3,2,4,1580,2129,0,1635,3363,3952,1213,1435,77,82,4,2422,1,0,981,94,1,0,2,0,7,1227,6,1,3735,2933,2992,2776,1,505,7,8,2,3657,0,0,0,4,0,0,1,0,17,3,32,3,1,0,2,3436,0,7,10,1,1,0,23,4,3,2,4,3,0,3,0,7,0,0,1,0,1,2,190,0,1188,4,13,0,4,3,2,0,3,3,0,1,22,197,6,94,0,3,2408,3642,1808,231,1424,3639,6,3728,4386,2164,3578,0,2,4,14,68,0,2035,7,0,3724,6,0,0,0,5,57,74,4,1,0,13,627,1311,2548,1054,7
85,2022-03-27,2,0,0,190,0,0,40,1,0,23,0,41,404,5,0,0,5,1,2,3,2,3,2,333,45,6,0,6,3,0,0,1,33,0,4,4,10,0,2,9,416,102,1584,0,141,0,4,3534,14,740,3,18,0,2,3,4,0,0,0,1,6,1,3,1,77,30,2,2625,4,377,2,0,0,268,568,8,1,4,3955,20,1,13,4,0,1,2,428,225,2,1905,1,2,12,3,7,0,35,0,0,1588,1,1,0,0,0,3,2454,1,0,0,0,25,1446,1576,0,86,1,0,2,0,0,0,2,2,535,1,3,0,17,6,0,5816,0,2,2,1,1092,3446,0,1328,2605,3172,1082,1183,76,62,1,1762,0,0,973,70,0,0,1,0,9,866,10,0,2627,2430,2522,2175,2,512,7,9,2,2723,1,0,1,1,0,0,3,0,24,1,39,2,0,0,0,3451,0,3,8,2,0,0,17,4,19,2,6,1,0,1,0,3,0,0,0,0,2,2,160,3,905,1,2,0,5,7,3,0,9,2,0,1,17,172,3,81,1,1,1904,3283,1300,209,1104,2652,4,3112,3262,2018,3350,0,2,3,7,69,0,1413,9,5,2780,3,0,1,0,3,34,53,0,0,0,13,513,1050,2233,1046,10
86,2022-03-28,0,1,0,47,2,0,50,2,0,29,1,25,569,3,1,1,9,0,0,2,3,2,2,328,22,2,0,4,1,0,0,0,37,1,5,0,6,2,14,11,294,99,1896,0,111,0,1,2910,12,635,5,24,2,0,3,1,0,0,0,1,7,2,2,1,42,9,1,2270,5,415,10,7,0,269,738,9,0,3,1697,6,2,12,2,0,0,2,411,224,10,1558,4,3,17,0,11,0,22,1,0,1999,3,1,0,0,0,2,2072,2,0,0,0,1,1268,875,0,89,3,0,6,1,1,1,0,1,443,1,7,0,18,5,0,5548,5,13,3,1,1273,3690,4,2751,2850,3188,1336,618,37,48,3,456,1,0,983,91,1,0,0,0,6,491,2,0,5124,3979,3338,2284,5,639,0,2,3,3319,2,0,1,2,3,0,6,1,14,0,11,0,0,0,0,3833,0,14,6,2,4,1,14,3,1,8,9,0,0,1,0,5,2,0,8,0,0,0,116,3,535,2,2,0,10,11,4,2,6,2,0,5,22,126,6,66,3,3,2079,3548,1216,68,1341,2661,2,5400,5550,2295,2876,0,3,7,8,92,0,1108,8,2,1634,1,0,0,0,4,5,16,1,0,2,15,416,1460,2024,1197,14
87,2022-03-29,0,0,0,61,1,0,46,0,0,29,1,37,629,5,1,2,11,1,1,0,2,1,2,372,38,6,0,2,2,0,1,0,56,2,3,1,3,2,3,15,282,92,2023,1,115,0,1,3370,11,730,3,26,3,1,3,2,0,0,0,1,9,5,0,2,52,11,1,2733,3,392,3,4,0,255,779,6,1,2,1941,3,3,7,4,0,3,3,508,297,7,1695,4,3,7,0,6,1,32,0,0,2075,0,0,0,0,0,1,2483,3,0,0,0,9,1459,1090,0,77,3,0,4,0,1,0,0,0,509,1,5,0,11,16,4,4827,2,6,2,8,1335,3520,6,2845,3161,3795,1479,702,35,48,2,592,0,0,978,80,1,0,4,0,3,680,0,3,6008,4812,4008,2631,4,685,2,11,2,3846,0,0,2,3,0,0,0,1,15,1,32,2,0,0,1,4024,1,9,5,0,4,0,18,4,1,1,10,2,0,2,2,2,4,0,4,0,2,2,156,2,627,1,6,0,13,13,3,3,7,4,0,0,17,137,6,82,0,3,2519,3864,1530,70,1531,3178,1,5698,6533,2588,3062,1,5,4,13,82,0,1466,6,0,1903,0,0,1,0,5,3,13,0,0,0,15,408,1565,2128,1256,8
88,2022-03-30,0,0,1,43,0,0,46,0,0,23,1,28,676,5,1,0,9,2,0,0,2,0,5,368,46,3,0,6,1,0,0,3,45,1,6,2,3,3,8,18,311,80,1879,0,122,0,1,3501,8,817,6,24,0,1,2,2,0,0,0,0,11,3,0,1,59,18,2,2798,4,387,3,6,0,254,807,6,0,4,2211,5,3,5,3,0,3,4,535,325,5,1858,4,1,7,2,3,0,36,1,0,2223,1,1,0,0,1,1,2766,0,1,0,0,7,1511,1137,0,86,0,0,1,0,2,1,1,2,550,1,6,0,11,7,2,4445,0,8,1,2,1424,3225,4,2715,3039,3882,1601,715,33,63,0,613,3,2,1057,73,3,0,4,0,5,727,3,0,5947,4988,4074,2627,0,679,2,11,0,4078,0,0,0,2,2,0,2,1,24,0,28,0,2,0,1,4019,0,8,8,1,2,0,36,3,2,5,9,0,0,3,1,1,3,0,1,0,5,1,152,0,639,3,5,0,6,8,3,3,8,2,0,3,17,146,4,81,0,3,2639,4040,1661,70,1540,3325,3,5555,6538,2509,3332,0,0,5,8,79,0,1656,7,2,2202,0,0,0,0,4,9,16,3,0,1,19,476,1574,2240,1028,5
89,2022-03-31,0,0,1,66,0,0,67,1,0,34,0,32,720,12,0,0,7,1,1,1,2,2,1,358,38,14,0,8,2,0,0,1,66,0,3,0,3,1,6,16,306,93,2125,1,121,0,4,3765,6,802,6,32,1,2,1,6,0,0,0,1,7,1,0,0,74,27,1,2985,6,428,2,5,0,256,804,8,1,3,2405,1,1,4,3,0,2,3,655,375,7,1939,5,2,13,0,13,0,30,2,0,2116,0,0,0,0,0,3,2819,2,0,0,1,5,1523,1263,0,95,3,2,1,0,1,0,1,0,611,0,4,0,13,4,2,4890,2,8,2,4,1448,3086,3,2651,3150,3787,1482,837,33,64,3,799,3,0,1111,100,0,0,0,0,3,753,6,2,5667,4548,3884,2696,10,713,2,15,3,3977,0,0,2,3,0,0,2,0,25,0,37,1,1,0,2,3856,0,9,5,2,3,2,17,1,1,3,6,3,0,4,2,3,1,0,4,0,4,1,197,4,774,2,4,0,5,11,4,5,7,7,0,2,19,151,4,70,2,2,2663,3863,1731,92,1583,3423,7,5525,6661,2425,3211,1,1,3,7,78,0,1854,10,0,2247,0,0,0,0,6,14,18,1,1,1,20,588,1672,2194,1194,8
90,2022-04-01,2,0,2,148,1,0,61,0,2,28,2,37,701,0,1,2,9,1,2,2,2,5,2,469,55,3,0,9,2,0,0,5,76,0,7,6,6,2,8,27,435,160,2063,0,163,0,5,4216,18,929,6,28,0,0,4,1,0,0,0,0,15,2,2,1,104,31,0,3171,6,384,2,5,0,451,956,10,0,1,3429,10,4,10,2,0,6,3,672,313,9,2213,8,3,15,1,8,0,41,0,0,1893,3,0,0,0,0,3,3152,3,0,0,0,17,1654,1581,0,160,6,1,7,3,4,0,0,3,657,2,10,0,15,8,1,5046,1,10,3,3,1635,3428,1,2494,3486,4224,1755,1146,42,65,1,1172,2,2,1330,126,0,0,2,0,5,1041,6,4,4261,3574,3348,2736,0,851,4,11,2,3864,1,0,1,4,0,0,3,0,21,0,27,2,0,0,0,3830,0,8,6,1,1,2,26,12,2,4,7,0,0,1,1,3,2,0,5,0,2,1,207,0,966,5,2,0,8,8,1,4,7,1,0,0,18,170,9,74,1,5,2629,3722,1923,154,1559,3311,8,5476,5904,3024,3906,0,1,1,14,137,0,1855,10,0,2943,0,0,0,0,4,32,25,0,0,1,14,627,1772,2782,1153,8
91,2022-04-02,2,0,2,281,0,0,71,0,1,30,0,47,584,4,0,0,12,2,1,3,2,1,2,374,62,1,0,7,1,0,0,3,69,3,4,2,5,0,3,12,409,120,2129,2,178,0,3,4202,9,1064,5,20,0,3,1,3,0,0,0,2,11,2,1,0,115,34,1,3170,9,385,2,2,0,363,681,4,3,6,4833,14,1,11,6,0,0,0,689,317,2,2368,0,2,18,1,7,0,58,0,0,1684,1,0,0,0,0,6,3449,2,0,0,1,20,1630,1868,0,107,1,1,4,0,3,0,1,2,774,1,4,0,19,11,0,4695,0,4,1,2,1569,2233,0,1697,3489,3833,1360,1265,50,66,0,1820,0,0,1073,80,1,0,1,0,8,1097,15,0,3658,2746,3189,2717,2,539,2,10,2,3480,1,0,0,1,0,0,0,0,13,0,36,6,0,0,3,3171,0,7,12,4,1,0,10,8,4,3,5,4,0,1,0,6,1,0,2,0,2,3,225,3,1059,2,11,0,10,6,2,3,8,5,0,1,27,223,4,84,0,2,2764,3556,1877,207,1507,3259,3,4006,4673,2302,3687,0,3,4,14,76,0,2116,7,1,3189,2,0,1,1,3,61,60,1,0,1,13,619,1475,3000,1077,5
92,2022-04-03,1,0,1,153,1,0,73,0,0,25,0,33,372,3,0,1,7,1,0,2,1,1,3,271,39,2,0,2,0,0,0,3,35,1,3,5,11,3,0,16,274,79,1595,0,111,0,2,3571,9,683,10,14,1,0,5,4,0,0,0,4,5,0,0,1,88,20,0,2610,4,403,0,0,0,231,516,7,1,6,3401,20,0,16,4,0,0,0,422,178,3,1842,0,4,11,1,5,0,41,0,0,1521,0,1,0,0,0,5,2527,0,0,0,0,25,1238,1294,0,78,2,0,1,0,0,0,0,0,474,0,3,1,20,5,1,5845,2,4,3,2,1098,3224,0,1282,2652,3101,1100,935,65,88,5,1348,0,0,906,59,2,0,1,0,3,717,3,0,3024,2511,2582,2258,0,406,4,7,3,2705,0,0,2,0,0,0,1,1,11,1,57,3,1,0,3,3395,0,6,9,6,0,0,15,4,0,1,1,2,0,0,1,2,0,0,1,1,3,2,140,1,772,2,8,0,8,16,3,1,13,3,0,1,18,155,6,63,2,1,1826,3595,1288,131,1122,2432,4,3296,3434,1971,3012,0,5,3,13,66,0,1567,7,3,1982,2,0,2,0,4,52,42,0,0,0,19,459,1060,2283,1033,10
93,2022-04-04,2,0,1,39,1,0,54,2,0,25,1,47,607,3,0,1,4,3,0,1,3,1,6,309,42,4,0,11,3,0,0,2,35,1,3,2,2,3,9,9,286,82,1886,0,103,0,2,2816,8,596,9,16,1,3,3,1,0,1,0,1,6,5,1,0,67,24,1,2334,3,422,6,7,0,266,802,6,1,1,1650,7,0,9,3,0,0,2,476,301,8,1582,1,3,12,1,11,0,30,0,0,1901,5,3,0,0,0,1,2127,1,0,0,0,5,1245,867,0,84,4,1,3,2,2,0,2,3,477,0,9,0,18,10,2,5356,1,10,7,5,1183,3427,2,2500,2659,3125,1312,676,39,54,0,505,0,0,960,75,0,0,2,0,6,511,3,3,4928,3974,3149,2157,5,611,4,6,3,3201,0,0,0,0,1,0,0,1,22,0,18,1,1,0,3,3635,1,9,5,0,4,0,12,3,1,6,9,2,0,2,0,3,1,0,2,0,3,2,166,0,566,1,4,0,12,9,2,2,12,2,0,4,16,121,4,70,0,5,2113,3404,1324,71,1248,2715,4,5016,5654,2263,2812,0,4,6,10,92,1,1215,6,0,1588,1,0,2,1,4,13,13,0,5,1,18,460,1446,2008,1029,8
94,2022-04-05,2,0,1,65,1,0,41,1,0,18,3,48,653,2,0,1,5,0,1,1,2,1,4,387,41,3,0,5,1,0,2,1,42,1,4,2,1,2,7,17,303,72,2016,1,104,0,3,3221,6,702,5,18,2,2,3,3,0,0,0,0,14,3,0,1,80,33,0,2716,2,463,6,8,0,237,815,7,1,2,1913,9,0,4,1,0,1,0,563,321,8,1743,3,3,12,0,8,0,42,0,0,2050,2,0,0,0,0,5,2517,1,0,0,0,2,1428,1098,0,94,2,0,3,2,4,1,4,2,536,0,6,1,9,9,5,4924,0,5,2,1,1430,3183,3,2784,2906,3786,1495,743,32,43,1,614,1,1,997,81,0,0,6,0,1,589,2,1,5260,4607,3751,2490,8,716,3,12,1,3849,0,0,1,2,1,0,1,1,15,1,35,3,1,0,1,3957,0,11,5,2,6,0,17,4,4,2,13,3,0,0,0,1,5,0,6,0,1,2,124,1,650,1,7,0,9,9,0,1,12,2,0,5,16,139,7,77,2,3,2479,3650,1650,76,1529,3088,1,5607,6618,2501,3077,0,3,1,12,68,0,1509,5,2,1805,1,0,0,0,3,10,13,0,4,1,7,509,1572,2097,1215,8
95,2022-04-06,2,0,1,64,1,0,53,0,0,27,0,34,803,5,1,0,7,2,0,3,2,2,4,341,40,2,0,7,5,0,0,0,28,2,4,1,4,3,9,23,317,102,1863,1,101,0,4,3253,11,809,3,33,1,0,3,3,0,0,0,1,11,3,0,2,79,27,3,2697,2,414,1,3,1,277,791,9,0,1,2028,8,1,6,1,0,0,2,593,321,5,1774,6,2,8,2,8,0,45,0,0,2138,1,1,0,0,1,6,2498,3,0,0,0,5,1474,1103,0,85,2,2,2,0,1,2,1,2,600,1,6,1,18,16,2,4732,1,10,0,3,1427,3460,2,2722,2921,3994,1475,734,44,51,0,665,2,1,962,107,1,0,2,0,5,704,4,1,5712,4684,4039,2663,2,683,0,12,3,3867,0,0,0,4,0,0,2,0,13,0,42,3,1,0,0,3764,0,5,9,0,3,1,23,2,2,3,7,1,0,1,0,4,3,0,7,0,1,2,132,4,720,1,3,0,12,4,3,2,8,2,0,2,20,140,3,74,4,4,2521,4054,1768,102,1489,3255,2,5477,6518,2349,3077,0,1,1,7,84,0,1612,7,0,2100,1,0,0,0,3,17,11,0,1,2,18,462,1510,2120,1061,11
96,2022-04-07,2,0,1,79,1,0,53,2,0,27,1,22,671,4,0,1,3,4,2,0,2,1,1,406,44,1,0,7,2,0,0,1,49,4,4,2,4,2,5,14,327,100,2002,0,114,0,2,3637,18,866,6,35,1,1,4,1,0,0,0,0,7,4,2,2,64,18,1,2938,1,444,2,5,1,300,885,5,5,2,2383,10,2,8,5,0,1,1,639,313,6,1865,3,0,11,0,8,1,37,0,0,2043,0,2,0,0,0,3,2840,4,0,0,0,12,1517,1167,0,104,2,1,3,0,3,0,2,0,587,0,4,1,23,7,1,4456,1,5,6,5,1492,3115,2,2807,3163,4330,1605,770,52,51,1,835,1,1,1129,86,0,1,0,0,3,808,3,1,5098,4259,3628,2577,4,733,1,6,1,3944,0,0,4,3,0,0,5,0,19,0,34,4,1,0,2,4135,0,7,6,1,2,1,10,3,1,3,7,2,0,0,1,0,1,0,7,0,1,0,172,2,727,1,6,0,15,11,4,2,11,6,0,2,23,157,4,74,1,2,2608,3958,1598,142,1625,3175,7,5969,6309,2649,3606,0,1,6,5,95,0,1621,6,0,2061,2,0,0,2,2,20,22,1,2,2,20,504,1675,2465,1144,9
97,2022-04-08,0,0,0,111,2,0,46,1,0,27,1,58,682,6,1,0,3,2,3,2,0,3,1,402,51,1,0,10,2,0,1,0,60,0,0,1,6,2,6,15,387,138,2282,0,136,0,3,3736,8,891,3,33,1,0,3,3,0,0,0,1,11,5,1,0,116,38,1,2962,7,467,3,3,1,338,793,8,2,2,3006,13,1,5,5,0,1,2,687,381,1,2058,1,4,9,0,12,2,47,1,0,1831,2,1,0,0,0,4,2931,1,0,0,0,15,1520,1408,0,137,3,1,8,0,2,1,3,2,622,1,8,1,31,8,2,5271,1,8,3,2,1440,3815,3,2399,3304,3880,1622,947,45,50,0,1074,0,0,1268,116,1,0,1,0,6,974,3,3,4762,3715,3479,2568,0,777,1,7,4,3666,0,0,0,4,0,0,4,0,17,1,50,3,0,0,4,3783,0,13,11,4,6,1,13,8,3,12,5,0,0,1,1,3,2,0,7,0,3,3,198,1,854,0,5,0,12,12,3,3,12,5,0,1,23,188,6,90,0,3,2638,3393,1739,190,1567,3129,7,5376,6034,2707,3748,0,1,0,18,108,0,1663,26,0,2575,0,1,0,1,6,31,19,1,1,3,21,552,1715,2797,1264,14
98,2022-04-09,1,0,1,241,0,0,84,0,0,32,0,64,678,1,0,0,7,5,1,4,1,1,3,417,66,0,0,4,1,0,3,1,71,2,1,7,6,1,4,17,331,98,2179,0,214,0,1,4222,15,950,3,21,0,0,5,0,0,0,0,3,14,2,0,0,107,42,0,3263,5,348,0,0,0,355,712,2,1,3,4775,25,1,5,3,0,0,1,756,345,2,2401,1,3,10,1,5,0,56,0,0,1593,0,0,0,0,0,5,3404,2,0,0,0,24,1826,1888,0,103,1,0,8,1,1,0,0,0,718,0,5,0,11,13,0,4686,0,2,0,3,1500,2212,1,1747,3459,3961,1294,1376,45,71,3,2007,1,0,1061,102,0,0,2,1,2,1224,8,3,3522,2988,3018,2558,0,579,3,16,0,3440,0,0,1,4,0,0,2,0,23,1,38,4,1,0,2,2907,0,7,12,4,1,0,19,10,0,3,5,3,0,2,0,3,1,0,2,0,2,4,267,0,1152,3,4,0,6,8,4,2,5,4,0,4,16,241,7,74,1,1,2730,3406,1992,317,1490,3215,7,4365,4909,2332,3468,0,2,8,10,73,0,2021,12,0,3353,3,0,0,0,5,71,58,1,0,1,14,681,1442,2967,1111,19
99,2022-04-10,2,0,2,199,0,0,55,1,0,24,1,53,545,3,0,0,12,4,0,3,0,3,3,350,48,1,0,3,1,0,0,4,49,0,2,10,6,2,1,9,312,97,1922,1,150,0,2,3680,14,821,8,16,0,0,3,6,0,0,0,2,8,4,0,0,89,47,1,2804,2,368,3,0,0,259,570,7,1,5,3603,30,0,9,7,0,3,0,496,212,7,1848,1,1,19,3,7,0,48,0,0,1525,1,1,0,0,0,1,2538,0,0,0,0,17,1415,1474,0,104,0,0,4,0,0,0,0,2,600,2,4,0,12,9,0,5698,2,3,2,1,1097,3073,1,1371,2666,3370,1091,1076,52,46,2,1537,0,2,995,60,1,0,1,0,5,818,9,1,3073,2483,2689,2184,1,469,7,6,2,2643,0,0,3,1,0,0,3,0,23,1,41,3,0,0,1,3271,0,6,10,3,1,1,13,3,2,5,3,4,0,1,2,1,1,0,4,0,1,1,210,1,894,0,3,0,6,11,2,1,6,3,0,0,12,166,5,78,1,1,2005,3549,1470,243,1117,2523,4,3551,3825,2219,3201,0,1,5,15,71,0,1574,10,0,2598,2,0,0,0,4,52,47,2,0,1,20,604,1146,2357,1072,14
